cases,deaths,countriesAndTerritories,dateRep,countryterritoryCode,popData2019,contintent
0,0,Holy See,2020-12-06,VAT,,
200,3,Honduras,2020-12-06,HND,9746117.0,Americas
5525,193,Hungary,2020-12-06,HUN,9769949.0,Europe
14,0,Iceland,2020-12-06,ISL,361313.0,Europe
36011,482,India,2020-12-06,IND,1366417754.0,Asia
6027,110,Indonesia,2020-12-06,IDN,270625568.0,Asia
12151,321,Iran,2020-12-06,IRN,82913906.0,Asia
1898,24,Iraq,2020-12-06,IRQ,39309783.0,Asia
457,13,Ireland,2020-12-06,IRL,4941444.0,Europe
1725,13,Israel,2020-12-06,ISR,9053300.0,Asia
21052,662,Italy,2020-12-06,ITA,60297396.0,Europe
76,1,Jamaica,2020-12-06,JAM,2948279.0,Americas
2483,19,Japan,2020-12-06,JPN,126264931.0,Asia
3160,50,Jordan,2020-12-06,JOR,10101694.0,Asia
966,4,Kazakhstan,2020-12-06,KAZ,18513930.0,Asia
735,12,Kenya,2020-12-06,KEN,52573973.0,Africa
631,5,"Korea, South",2020-12-06,KOR,51709098.0,Asia
2220,61,Kosovo,2020-12-06,XKX,1794248.0,Europe
247,3,Kuwait,2020-12-06,KWT,4207083.0,Asia
401,5,Kyrgyzstan,2020-12-06,KGZ,6456900.0,Asia
0,0,Laos,2020-12-06,LAO,7169455.0,Asia
794,11,Latvia,2020-12-06,LVA,1912789.0,Europe
0,0,Lebanon,2020-12-06,LBN,6855713.0,Asia
0,0,Lesotho,2020-12-06,LSO,2125268.0,Africa
0,0,Liberia,2020-12-06,LBR,4937374.0,Africa
0,0,Libya,2020-12-06,LBY,6777452.0,Africa
27,0,Liechtenstein,2020-12-06,LIE,38019.0,Europe
2848,21,Lithuania,2020-12-06,LTU,2786844.0,Europe
0,0,Luxembourg,2020-12-06,LUX,619896.0,Europe
0,0,Madagascar,2020-12-06,MDG,26969307.0,Africa
2,0,Malawi,2020-12-06,MWI,18628747.0,Africa
1123,4,Malaysia,2020-12-06,MYS,31949777.0,Asia
16,0,Maldives,2020-12-06,MDV,530953.0,Asia
124,0,Mali,2020-12-06,MLI,19658031.0,Africa
103,0,Malta,2020-12-06,MLT,502653.0,Europe
0,0,Marshall Islands,2020-12-06,MHL,58791.0,Oceania
178,2,Mauritania,2020-12-06,MRT,4525696.0,Africa
0,0,Mauritius,2020-12-06,MUS,1265711.0,Africa
11625,593,Mexico,2020-12-06,MEX,127575529.0,Americas
1728,19,Moldova,2020-12-06,MDA,2657637.0,Europe
7,0,Monaco,2020-12-06,MCO,38964.0,Europe
7,0,Mongolia,2020-12-06,MNG,3225167.0,Asia
412,8,Montenegro,2020-12-06,MNE,622137.0,Europe
4118,48,Morocco,2020-12-06,MAR,36471769.0,Africa
95,0,Mozambique,2020-12-06,MOZ,30366036.0,Africa
146,0,Namibia,2020-12-06,NAM,2494530.0,Africa
1024,10,Nepal,2020-12-06,NPL,28608710.0,Asia
6676,39,Netherlands,2020-12-06,NLD,17332850.0,Europe
0,0,New Zealand,2020-12-06,NZL,4917000.0,Oceania
0,0,Nicaragua,2020-12-06,NIC,6545502.0,Americas
63,0,Niger,2020-12-06,NER,23310715.0,Africa
310,1,Nigeria,2020-12-06,NGA,200963599.0,Africa
981,24,North Macedonia,2020-12-06,MKD,2083459.0,Europe
272,0,Norway,2020-12-06,NOR,5347896.0,Europe
0,0,Oman,2020-12-06,OMN,4974986.0,Asia
3308,58,Pakistan,2020-12-06,PAK,216565318.0,Asia
2300,19,Panama,2020-12-06,PAN,4246439.0,Americas
0,0,Papua New Guinea,2020-12-06,PNG,8776109.0,Oceania
714,20,Paraguay,2020-12-06,PRY,7044636.0,Americas
3785,119,Peru,2020-12-06,PER,32510453.0,Americas
1724,17,Philippines,2020-12-06,PHL,108116615.0,Asia
12427,502,Poland,2020-12-06,POL,37970874.0,Europe
6087,73,Portugal,2020-12-06,PRT,10269417.0,Europe
140,0,Qatar,2020-12-06,QAT,2832067.0,Asia
8072,134,Romania,2020-12-06,ROU,19356544.0,Europe
28450,498,Russia,2020-12-06,RUS,144373535.0,Europe
41,0,Rwanda,2020-12-06,RWA,12626950.0,Africa
